id_x,created_at,user_id,product_id,discount,quantity,date_only,category,price,total
1,2019-02-11T21:40:27.892Z,1,14,0.0,2,2019-02-11,Widget,25.0988,50.1976
2,2018-05-15T08:04:04.580Z,1,123,0.0,3,2018-05-15,Gizmo,73.9543,221.86290000000002
3,2019-12-06T22:22:48.544Z,1,105,6.41668,2,2019-12-06,Gadget,35.149,70.298
4,2019-08-22T16:30:42.392Z,1,94,0.0,6,2019-08-22,Widget,72.8124,436.8744
5,2018-10-10T03:34:47.309Z,1,132,0.0,5,2018-10-10,Widget,85.2546,426.27299999999997
6,2019-11-06T16:38:50.134Z,1,60,0.0,3,2019-11-06,Doohickey,19.8681,59.604299999999995
7,2018-09-11T11:22:26.521Z,1,55,0.0,5,2018-09-11,Gadget,63.8475,319.23749999999995
8,2019-06-17T02:37:41.693Z,1,65,8.65395,7,2019-06-17,Widget,45.4851,318.39570000000003
9,2017-05-03T16:00:54.923Z,1,184,3.59474,3,2017-05-03,Widget,77.3983,232.19490000000002
10,2020-01-17T01:44:37.233Z,1,6,0.0,2,2020-01-17,Doohickey,64.9575,129.915
11,2018-07-22T20:31:01.969Z,1,76,0.0,6,2018-07-22,Widget,42.5495,255.29700000000003
12,2018-06-26T23:21:13.271Z,3,7,0.0,7,2018-06-26,Doohickey,98.8193,691.7351
13,2019-04-06T01:04:43.973Z,3,70,2.11734,2,2019-04-06,Widget,38.3287,76.6574
14,2017-05-25T20:50:37.137Z,3,139,0.0,4,2017-05-25,Doohickey,51.1851,204.7404
15,2018-06-26T02:24:38.715Z,3,116,0.0,5,2018-06-26,Gizmo,76.2832,381.41599999999994
16,2017-12-14T11:28:30.031Z,3,68,0.0,1,2017-12-14,Gizmo,76.829,76.829
17,2020-02-06T12:14:36.282Z,3,48,0.0,1,2020-02-06,Gizmo,82.1392,82.1392
18,2020-04-10T23:29:46.804Z,3,12,0.0,2,2020-04-10,Gizmo,77.3428,154.6856
19,2019-02-14T07:28:31.104Z,3,136,0.0,1,2019-02-14,Widget,70.136,70.136
20,2018-04-21T04:18:01.863Z,3,160,9.48067,4,2018-04-21,Gadget,31.7275,126.91
21,2018-05-02T03:57:22.388Z,3,94,0.0,5,2018-05-02,Widget,72.8124,364.062
22,2019-12-12T21:32:01.533Z,4,10,6.75265,1,2019-12-12,Gizmo,31.7862,31.7862
23,2019-06-02T11:33:15.096Z,4,85,0.0,5,2019-06-02,Gizmo,36.6007,183.00350000000003
