id,category,price,title,vendor,average_rating,review_length,review_count
1,Gizmo,29.4633,Rustic Paper Wallet,"Swaniawski, Casper and Hilll",4.625,172.75,8.0
2,Doohickey,70.0799,Small Marble Shoes,Balistreri-Ankunding,,,
3,Doohickey,35.3887,Synergistic Granite Chair,"Murray, Watsica and Wunsch",4.0,171.0,7.0
4,Doohickey,73.9918,Enormous Aluminum Shirt,Regan Bradtke and Sons,3.0,167.6,5.0
5,Gadget,82.7451,Enormous Marble Wallet,"Price, Schultz and Daniel",4.0,146.75,4.0
6,Doohickey,64.9575,Small Marble Hat,Nolan-Wolff,3.8,171.2,5.0
7,Doohickey,98.8193,Aerodynamic Linen Coat,Little-Pagac,4.375,170.25,8.0
8,Doohickey,65.8922,Enormous Steel Watch,Senger-Stamm,4.142857142857143,177.14285714285714,7.0
9,Widget,58.3131,Practical Bronze Computer,Keely Stehr Group,4.25,178.25,4.0
10,Gizmo,31.7862,Mediocre Wooden Table,"Larson, Pfeffer and Klocko",4.333333333333333,167.0,9.0
11,Gadget,88.3045,Ergonomic Silk Coat,"Upton, Kovacek and Halvorson",,,
12,Gizmo,77.3428,Sleek Paper Toucan,Mueller-Dare,4.428571428571429,145.71428571428572,7.0
13,Gizmo,75.0862,Synergistic Steel Chair,Mr. Tanya Stracke and Sons,,,
14,Widget,25.0988,Awesome Concrete Shoes,McClure-Lockman,4.0,180.66666666666666,3.0
15,Widget,25.0988,Aerodynamic Paper Computer,Friesen-Anderson,4.0,146.16666666666666,6.0
16,Gadget,44.0735,Incredible Bronze Pants,"Okuneva, Kutch and Monahan",4.0,171.42857142857142,7.0
17,Doohickey,53.2907,Enormous Wool Car,"Hilpert, Jacobs and Hauck",4.3076923076923075,157.07692307692307,13.0
18,Gadget,54.602,Lightweight Paper Bottle,Wilkinson-Gottlieb,4.428571428571429,156.28571428571428,7.0
19,Doohickey,42.6712,Rustic Concrete Bottle,"Gibson, Turner and Douglas",4.25,200.5,4.0
20,Gizmo,24.8843,Intelligent Wooden Gloves,Ora Monahan and Sons,4.0,212.66666666666666,6.0
21,Gadget,40.3833,Lightweight Wool Bag,Heaney-Windler,4.166666666666667,158.33333333333334,6.0
22,Gizmo,21.4245,Enormous Marble Shoes,"Mayer, Kiehn and Turcotte",4.25,197.25,8.0
23,Widget,77.9111,Fantastic Aluminum Bottle,"Reichert, Johnson and Roob",3.857142857142857,156.71428571428572,7.0
24,Doohickey,74.871,Synergistic Marble Keyboard,Claude Thompson Group,3.4285714285714284,187.14285714285714,7.0
25,Widget,45.7484,Durable Marble Watch,"Ritchie, Haley and Pacocha",,,
26,Widget,45.4165,Ergonomic Aluminum Plate,Tia Goyette Group,,,
27,Gadget,85.0165,Awesome Aluminum Table,Alfredo Kuhlman Group,2.0,161.0,1.0
28,Gizmo,45.4165,Rustic Marble Bottle,"Morissette, Bartoletti and Cummings",,,
29,Widget,82.383,Durable Steel Toucan,Odessa Emmerich Inc,4.5,167.5,6.0
30,Gadget,42.783,Ergonomic Paper Wallet,Miles Ryan Group,3.75,171.75,4.0
31,Doohickey,70.4356,Rustic Rubber Clock,"Quigley, Von and Will",4.5,184.0,2.0
32,Gadget,71.4299,Ergonomic Silk Keyboard,Reid Pfannerstill and Sons,4.0,144.66666666666666,6.0
33,Doohickey,31.8299,Small Plastic Computer,Spinka-Stokes,2.75,207.75,4.0
34,Gadget,49.5359,Heavy-Duty Wooden Clock,Eugenia Kunze LLC,4.142857142857143,159.0,7.0
35,Doohickey,47.6912,Mediocre Cotton Coat,Cassin-Collins,3.6,171.0,5.0
36,Gizmo,87.2913,Mediocre Plastic Clock,"Wolf, Beahan and Thiel",4.142857142857143,166.14285714285714,7.0
37,Gadget,53.4052,Incredible Granite Toucan,"Parker, OConnell and Beahan",3.3333333333333335,194.0,9.0
38,Gadget,44.0462,Lightweight Leather Gloves,"Bednar, Berge and Boyle",3.8,171.2,5.0
39,Gizmo,76.3877,Durable Rubber Computer,Carmela Douglas Inc,4.285714285714286,157.85714285714286,7.0
40,Gizmo,66.4416,Small Copper Plate,Maegan Casper Group,3.923076923076923,176.6153846153846,13.0
41,Widget,42.3393,Aerodynamic Paper Coat,Robyn Padberg Inc,4.25,190.0,4.0
42,Widget,25.3361,Awesome Rubber Wallet,Schamberger-Maggio,4.0,185.11111111111111,9.0
43,Widget,50.9017,Lightweight Marble Bag,Francis Wolff Group,4.0,179.5,2.0
44,Widget,50.9017,Gorgeous Concrete Shoes,Carol Marvin LLC,4.0,181.85714285714286,7.0
45,Doohickey,78.6997,Sleek Wool Wallet,"Volkman, Greenfelder and Kiehn",2.7142857142857144,158.57142857142858,7.0
46,Gadget,78.6997,Rustic Linen Keyboard,Una Fadel Group,4.0,231.5,4.0
47,Doohickey,56.0511,Aerodynamic Cotton Bottle,Annetta Wyman and Sons,4.285714285714286,154.42857142857142,7.0
48,Gizmo,82.1392,Gorgeous Concrete Chair,Kiehn-Pacocha,3.3333333333333335,169.33333333333334,12.0
49,Gadget,87.6191,Incredible Silk Shoes,Schuster-Wyman,3.8181818181818183,158.63636363636363,11.0
50,Widget,35.7601,Durable Wool Toucan,"Hartmann, Mohr and Stiedemann",4.142857142857143,173.71428571428572,7.0
51,Gizmo,50.4337,Awesome Granite Car,Keshaun Mueller Group,3.75,223.0,4.0
52,Widget,69.1172,Ergonomic Marble Hat,Koch-Ruecker,4.4,177.6,5.0
53,Doohickey,29.5172,Mediocre Cotton Toucan,Jacobson-Daniel,4.4,164.0,5.0
54,Widget,41.3957,Intelligent Bronze Knife,McClure-Murphy,3.6666666666666665,196.0,9.0
55,Gadget,63.8475,Mediocre Rubber Shoes,"Considine, Lehner and Maggio",,,
56,Doohickey,24.2475,Awesome Silk Car,Hackett-Reynolds,4.142857142857143,152.85714285714286,7.0
57,Gizmo,81.6149,Gorgeous Bronze Hat,"Kuphal, Schowalter and Bogan",3.8333333333333335,154.25,12.0
58,Gadget,52.0972,Practical Steel Table,"Smitham, Dach and Bode",4.375,159.125,8.0
59,Gizmo,59.4681,Sleek Aluminum Watch,"Donnelly, Renner and Barton",3.6,221.4,5.0
60,Doohickey,19.8681,Rustic Paper Car,Stroman-Carroll,4.111111111111111,213.33333333333334,9.0
61,Gizmo,15.6919,Mediocre Paper Car,Jordi Effertz LLC,4.0,183.4,5.0
62,Widget,89.0135,Awesome Iron Hat,Von-Gulgowski,4.0,217.0,2.0
63,Gizmo,89.0135,Enormous Granite Wallet,"Hills, Fahey and Jones",3.8181818181818183,155.45454545454547,11.0
64,Gadget,95.6148,Incredible Aluminum Knife,Noah Anderson and Sons,3.75,207.0,4.0
65,Widget,45.4851,Ergonomic Silk Table,Weimann-Cummings,3.7777777777777777,185.66666666666666,18.0
66,Widget,90.7742,Fantastic Silk Bottle,Goyette-Smitham,4.428571428571429,163.28571428571428,7.0
67,Gizmo,27.4965,Aerodynamic Granite Bottle,Myriam Macejkovic Inc,4.333333333333333,178.33333333333334,3.0
68,Gizmo,76.829,Heavy-Duty Copper Toucan,"Howe, Kiehn and Price",3.923076923076923,168.53846153846155,13.0
69,Doohickey,48.9251,Synergistic Leather Coat,"Wiza, Abbott and Deckow",3.5,201.5,8.0
70,Widget,38.3287,Small Rubber Clock,Izabella Dach I and Sons,3.6666666666666665,187.41666666666666,12.0
71,Gadget,55.2025,Sleek Granite Pants,"Kirlin, Hermann and Stokes",,,
72,Widget,94.8025,Rustic Paper Bench,"Senger, Mertz and Murray",3.5714285714285716,164.14285714285714,7.0
73,Widget,47.7525,Aerodynamic Rubber Bench,Rowan Kautzer LLC,4.125,178.875,8.0
74,Gadget,34.0854,Awesome Plastic Watch,Herman Flatley Group,4.3125,168.5,16.0
75,Gadget,83.8752,Intelligent Paper Hat,Ledner-Satterfield,4.5,166.5,4.0
76,Widget,42.5495,Sleek Marble Clock,"Koepp, Ondricka and Larkin",4.333333333333333,170.66666666666666,6.0
77,Gadget,67.3446,Mediocre Leather Computer,Fisher-Kemmer,4.4,187.2,5.0
78,Gizmo,27.7446,Mediocre Aluminum Shirt,"Zemlak, Botsford and Corkery",,,
79,Gizmo,27.7446,Sleek Aluminum Clock,"Toy, Deckow and Nitzsche",4.333333333333333,143.33333333333334,3.0
80,Widget,36.6088,Small Copper Clock,Cruickshank-Abernathy,3.7777777777777777,196.88888888888889,9.0
81,Gizmo,29.2887,Lightweight Linen Coat,Mason Bashirian and Sons,4.25,206.5,4.0
82,Gadget,40.597,Heavy-Duty Steel Watch,Braeden Gislason and Sons,4.5,186.0,2.0
83,Gadget,54.5842,Lightweight Bronze Table,Mr. Johanna Koepp and Sons,3.75,211.5,4.0
84,Gizmo,54.5842,Incredible Plastic Chair,Americo Sipes and Sons,3.2,156.4,5.0
85,Gizmo,36.6007,Rustic Copper Knife,"Reynolds, Gleason and Brekke",4.125,200.625,8.0
86,Doohickey,61.5429,Heavy-Duty Silk Chair,"Orn, Hilpert and Pfannerstill",3.7142857142857144,176.14285714285714,7.0
87,Widget,78.1702,Gorgeous Linen Bottle,Miss Annamae Kutch Group,3.5625,186.375,16.0
88,Gizmo,70.2753,Lightweight Linen Bottle,Dorothea Balistreri Inc,3.6,170.6,5.0
89,Widget,42.4797,Awesome Aluminum Keyboard,"Stamm, Crist and Labadie",3.3333333333333335,182.66666666666666,3.0
90,Gizmo,82.0797,Incredible Concrete Keyboard,Rodriguez-Kuhlman,4.0,166.0,3.0
91,Gizmo,43.3962,Rustic Rubber Knife,Connelly-Ritchie,4.571428571428571,169.85714285714286,7.0
92,Gizmo,83.2616,Small Granite Gloves,Baumbach-Hilpert,4.285714285714286,177.28571428571428,7.0
93,Widget,33.2124,Practical Copper Car,Medhurst-Reichert,,,
94,Widget,72.8124,Awesome Bronze Plate,Nolan-Heller,,,
95,Gizmo,33.2124,Durable Iron Knife,"Schiller, Bogisich and Lockman",4.166666666666667,193.5,12.0
