,coldid,prodid
0,1348,7
1,550,69
2,386,131
3,1408,81
4,815,11
5,1718,41
6,550,199
7,1947,99
8,1348,7
9,967,81
10,678,81
11,687,41
12,1825,41
13,1538,11
14,234,7
15,234,11
16,399,199
17,1718,7
18,332,69
19,836,7
20,663,131
21,815,131
22,550,81
23,663,150
24,762,150
25,223,81
26,2241,69
27,815,35
28,1168,35
29,1930,41
30,1168,7
31,678,150
32,1947,150
33,1718,81
34,1217,41
35,1538,11
36,1947,35
37,663,131
38,678,81
39,647,35
40,1997,35
41,687,11
42,602,41
43,332,199
44,597,69
45,1408,35
46,2251,131
47,2251,7
48,234,11
49,1538,35
50,2046,41
51,550,35
52,2074,81
53,741,11
54,313,199
55,741,69
56,1997,41
57,399,99
58,234,81
59,602,41
60,1350,69
61,647,11
62,741,131
63,201,199
64,2074,7
65,967,99
66,1901,150
67,1947,99
68,1997,69
69,663,7
70,399,7
71,2046,150
72,1997,11
73,836,11
74,234,41
75,2074,35
76,1976,11
77,1930,41
78,762,41
79,399,199
80,836,35
81,706,69
82,1976,99
83,2241,199
84,1408,150
85,1217,11
86,1350,150
87,1997,150
88,386,11
89,1538,199
90,1965,35
91,1976,99
92,2251,199
93,332,99
94,332,199
95,1348,199
96,1348,199
97,1965,131
98,332,99
99,2289,41
100,1718,11
101,2289,69
102,2289,150
103,1947,41
104,1350,69
105,815,131
106,1168,69
107,1997,41
108,2074,11
109,1348,99
110,1825,131
111,2241,11
112,1217,35
113,550,41
114,1538,11
115,386,7
116,1930,81
117,762,69
118,815,199
119,223,131
120,1348,199
121,2241,69
122,1947,41
123,647,41
124,1718,41
125,201,11
126,2241,7
127,836,7
128,2289,35
129,1538,35
130,678,69
131,201,150
132,602,11
133,386,41
134,678,81
135,2251,7
136,663,81
137,550,11
138,687,99
139,1976,81
140,647,131
141,1168,69
142,687,131
143,332,7
144,1901,41
145,1997,11
146,1217,7
147,386,69
148,647,81
149,2241,7
150,1217,131
151,967,69
152,1718,99
153,597,150
154,663,99
155,1825,81
156,223,41
157,2074,150
158,1976,11
159,678,81
160,332,199
161,967,11
162,1951,99
163,223,41
164,663,199
165,678,131
166,386,7
167,1930,11
168,1901,11
169,1168,41
170,223,99
171,1976,131
172,1901,199
173,1976,35
174,1901,11
175,836,69
176,815,81
177,762,35
178,1976,7
179,2241,81
180,550,131
181,201,35
182,1901,81
183,1947,35
184,706,7
185,1976,41
186,647,81
187,234,99
188,1976,69
189,1965,41
190,1951,99
191,1825,150
192,1930,150
193,663,11
194,1718,131
195,386,150
196,2241,7
197,1168,131
198,602,11
199,1538,35
200,1951,81
201,678,7
